Année;Livraison;Date;N° de notice;Page;Catégorie;Sous-Catégorie;Langue;Titre;Auteur;Identifiant auteur;Posture;Affichage identitaire;Traducteur;Identifiant traducteur;Para-auteur;Identifiant para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d'impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue
1823;46;1823/11/15;4914;178;BELLES-LETTRES;Poétique et Poésie;Français;Moyse, poëme en quatre chants;Nepomucène L. Lemercier;;;;;;;;15;;240;;In-8°;;;;;;;;;;;;;;;;;;F. Didot;;Paris;Bossange père;Paris;Bossange frères;Paris;Delaunay;Paris;Ponthieu;;;;;;;;;;;;;
1823;46;1823/11/15;4915;191;BELLES-LETTRES;Théâtre;Français;Arioviste, roi des Celtes, tragédie en cinq actes et en vers;J. E. Bruneaux;;;;;;;;3 1/2;;56;;In-8°;;;;;3;;;;;;;;;;;;;Nouzou;;Paris;Barba;;;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4916;189;BELLES-LETTRES;Théâtre;Français;L'atelier de peinture, tableau-vaudeville en un acte. Représenté sur le théâtre du Gymnase-Dramatique, le 31 octobre 1823;"M. Sewrin;M. Léon";;Collectif;;;;;;2 1/4;;36;;In-8°;;;;;1,5;;;;;;;;;;;;;Nouzou;;Paris;Bezou;;;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4917;184;BELLES-LETTRES;Poétique et Poésie;Français;Chants français, poëme;Amédée Duquesnel;;;;;;;;3 1/4;;52;;In-8°;;;;;;;;;;;;;;;;;;Rignoux;;;;;;;;;;;;;;;;;;;;"""y compris la couverture""";;
1823;46;1823/11/15;4919;175;BELLES-LETTRES;Rhétorique et Eloquence;Français;Discours sur les périls de la gloire;Prosper Beaupuy;;;;;;;;1;;36;;In-18;;;;;;;;;;;;;;;;;;C. Chantpie;;Paris;Ladvocat;;;;;;;;;;;;;;;;;"En prose ; suivi d'une cantate.";;
1823;46;1823/11/15;4932;201;BELLES-LETTRES;Polygraphes;Français;Oeuvres de Florian, de l'Académie française, etc. Treize tomes. Douze volumes in-8°, ornés d'un portrait et de 24 gravures. (Prospectus.);;;Anonyme;;;;;;0 1/4;;4;;In-8°;;;;;;;;;;;;;;;;;;Rignoux;;Paris, rue des Fossés-Saint-Germain-des-Prés, n. 21;M. Briand;;;;;;;;;;;;;;;;;"Il y aura huit tomes pour les Œuvres primitives, et cinq pour les Œuvres posthumes. Le format sera in-8°. Le premier volume paraitra le 1er décembre; le second, le 15 décembre; les autres de mois en mois à partir du 15 janvier. Chaque volume coutera aux souscripteurs : 8-0. Grand raison vélin superfin avec figures, lettres grises, sur papier de chine : 24-0. La souscription sera fermée le jour de la mise en vente de la quatrième livraison, et le prix sera augmenté de 1 fr. pour le papier fin, et de 3 fr. pour le grand raisin vélin.";;
1823;46;1823/11/15;4934;200;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;"Dix-sept novembre; naissance de S. M. Louis XVIII et suite de l'épuration de J.-J. Rousseau et mélanges";Auguste Hus;;;;;;;;0 1/4;;4;;In-8°;;;;;0,25;;;;;;;;;;;;;Rougeron;;Paris;Beauchamps;Paris;Mongie aîné;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4936;186;BELLES-LETTRES;Théâtre;Français;Suite du Répertoire du Théatre-Français, avec un choix des pièces de plusieurs autres théâtres, arrangées et mises en ordre. Tomes IV, XXX, LÍV, LV, LXXVIII;;;Compilation;;;;M. Lepeintre;;47 2/9;;1700;5;In-18;;;;;;;;;;;;;;;;;;Tremblay;;Paris;Mme Ve Dabo;;;;;;;;;;;;;;;;;;;
1823;46;1823/11/15;4939;201;BELLES-LETTRES;Polygraphes;Français;Avertissemens aux protestans sur les lettres du ministre Jurieu. Tome Ier;Bossuet;;;;;;;;40 7/8;;654;;In-8°;;;;;;;;;;;;;;;;;;P. Didot l'aîné;;Paris;Delestre Boulage;;;;;;;;;;;;;;;;;(1823.) Le faux-titre porte : Ouvres choisies de Bossuet. Tome XX;;
1823;46;1823/11/15;4946;187;BELLES-LETTRES;Théâtre;Français;L'auteur malgré lui, comédie en trois actes et en vers, représentée, pour la première fois, sur le théâtre Français, le 18 octobre 1823;M. de Saint-Remy;;;;;;;;5 1/2;;88;;In-8°;;;;;;;;;;;;;;;;;;F. Didot;;Paris;Vente;;;;;;;;;;;;;;;;;;;
